label,image
bottleimp_01,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_01.svg
bottleimp_02,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_02.svg
bottleimp_03,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_03.svg
bottleimp_04,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_04.svg
bottleimp_05,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_05.svg
bottleimp_06,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_06.svg
bottleimp_07,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_07.svg
bottleimp_08,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_08.svg
bottleimp_09,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_09.svg
bottleimp_10,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_10.svg
bottleimp_11,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_11.svg
bottleimp_12,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_12.svg
bottleimp_13,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_13.svg
bottleimp_14,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_14.svg
bottleimp_15,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_15.svg
bottleimp_16,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_16.svg
bottleimp_17,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_17.svg
bottleimp_18,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_18.svg
bottleimp_19,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_19.svg
bottleimp_20,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_20.svg
bottleimp_21,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_21.svg
bottleimp_22,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_22.svg
bottleimp_23,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_23.svg
bottleimp_24,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_24.svg
bottleimp_25,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_25.svg
bottleimp_26,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_26.svg
bottleimp_27,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_27.svg
bottleimp_28,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_28.svg
bottleimp_29,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_29.svg
bottleimp_30,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_30.svg
bottleimp_31,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_31.svg
bottleimp_32,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_32.svg
bottleimp_33,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_33.svg
bottleimp_34,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_34.svg
bottleimp_35,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_35.svg
bottleimp_36,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_36.svg
bottleimp_37,https://raw.githubusercontent.com/DookTibs/pcio/master/bottle_imp/cards/bottleimp_37.svg
