label,image
chimera_red_1,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_1.svg
chimera_red_2,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_2.svg
chimera_red_3,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_3.svg
chimera_red_4,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_4.svg
chimera_red_5,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_5.svg
chimera_red_6,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_6.svg
chimera_red_7,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_7.svg
chimera_red_8,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_8.svg
chimera_red_9,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_9.svg
chimera_red_10,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_10.svg
chimera_red_11,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_11.svg
chimera_red_12,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_12.svg
chimera_red_H,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_red_H.svg
chimera_blue_1,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_1.svg
chimera_blue_2,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_2.svg
chimera_blue_3,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_3.svg
chimera_blue_4,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_4.svg
chimera_blue_5,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_5.svg
chimera_blue_6,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_6.svg
chimera_blue_7,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_7.svg
chimera_blue_8,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_8.svg
chimera_blue_9,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_9.svg
chimera_blue_10,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_10.svg
chimera_blue_11,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_11.svg
chimera_blue_12,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_12.svg
chimera_blue_H,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_blue_H.svg
chimera_green_1,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_1.svg
chimera_green_2,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_2.svg
chimera_green_3,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_3.svg
chimera_green_4,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_4.svg
chimera_green_5,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_5.svg
chimera_green_6,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_6.svg
chimera_green_7,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_7.svg
chimera_green_8,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_8.svg
chimera_green_9,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_9.svg
chimera_green_10,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_10.svg
chimera_green_11,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_11.svg
chimera_green_12,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_12.svg
chimera_green_H,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_green_H.svg
chimera_black_1,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_1.svg
chimera_black_2,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_2.svg
chimera_black_3,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_3.svg
chimera_black_4,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_4.svg
chimera_black_5,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_5.svg
chimera_black_6,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_6.svg
chimera_black_7,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_7.svg
chimera_black_8,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_8.svg
chimera_black_9,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_9.svg
chimera_black_10,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_10.svg
chimera_black_11,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_11.svg
chimera_black_12,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_12.svg
chimera_black_H,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_black_H.svg
chimera_special_P,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_special_P.svg
chimera_special_C,https://raw.githubusercontent.com/DookTibs/pcio/master/chimera/generated/chimera_special_C.svg
