label,image
pink_1,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink01.svg
pink_2,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink02.svg
pink_3,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink03.svg
pink_4,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink04.svg
pink_5,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink05.svg
pink_6,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink06.svg
pink_7,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink07.svg
pink_8,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink08.svg
pink_9,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink09.svg
pink_10,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink10.svg
pink_11,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink11.svg
pink_12,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/pink12.svg
blue_1,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue01.svg
blue_2,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue02.svg
blue_3,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue03.svg
blue_4,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue04.svg
blue_5,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue05.svg
blue_6,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue06.svg
blue_7,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue07.svg
blue_8,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue08.svg
blue_9,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue09.svg
blue_10,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue10.svg
blue_11,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue11.svg
blue_12,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/blue12.svg
orange_1,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange01.svg
orange_2,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange02.svg
orange_3,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange03.svg
orange_4,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange04.svg
orange_5,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange05.svg
orange_6,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange06.svg
orange_7,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange07.svg
orange_8,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange08.svg
orange_9,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange09.svg
orange_10,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange10.svg
orange_11,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange11.svg
orange_12,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/orange12.svg
green_1,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green01.svg
green_2,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green02.svg
green_3,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green03.svg
green_4,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green04.svg
green_5,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green05.svg
green_6,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green06.svg
green_7,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green07.svg
green_8,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green08.svg
green_9,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green09.svg
green_10,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green10.svg
green_11,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green11.svg
green_12,https://raw.githubusercontent.com/DookTibs/pcio/master/time_palatrix/cards/green12.svg
